Баня 3х4;Увеличить парную;;;;
Баня 4х4;Увеличить парную;;;;
Баня 5х4;Увеличить парную;;;;
Баня 5х5;Увеличить парную;Добавить санузел;;;
Баня 6х5;Увеличить парную;Добавить санузел;;;
Баня 6х6;Увеличить парную;;;;
Баня 6х5 СМ;Увеличить парную;Добавить санузел;;;
Баня 6х6 СМ;Увеличить парную;;;;
Баня Лада 6х8;Увеличить парную;;;;
Малыш 2;;;;;
Малыш 3;;;;;
Малыш 4;Внести в стандартные услуги, увеличение высоты потолка;Установить межкомнатную дверь;;;
Малыш 5;Внести в стандартные услуги, увеличение высоты потолка;Установить межкомнатную дверь;;;
Малыш 6;Внести в стандартные услуги, увеличение высоты потолка;Установить межкомнатную дверь;;;
Витязь 1;Возможность пристроек;Увеличить крыльцо;Внести в стандартные услуги, увеличение высоты потолка. Для БК;Возможность дополнительной перепланировки под баню;
Витязь 2;Возможность пристроек;Внести в стандартные услуги, увеличение высоты потолка. Для БК;Возможность дополнительной перепланировки под баню;;
Витязь 3;Возможность пристроек;Внести в стандартные услуги, увеличение высоты потолка. Для БК;Возможность дополнительной перепланировки под баню;;
Лада 1;Возможность пристроек;Увеличить коридор;Внести в стандартные услуги, увеличение высоты потолка. Для БК;Ввести стандартную перепланировку: вторая комната на мансарде, в замен второго света;
Лада 2;Возможность пристроек;Увеличить коридор;Внести в стандартные услуги, увеличение высоты потолка. Для БК;Ввести стандартную перепланировку: вторая комната на мансарде, в замен второго света;
Лидер 4;;;;;
Лидер 5;Добавить санузел;;;;
Лидер 6;Добавить санузел;;;;
Лидер 7;Увеличить санузел (узкий);Добавить комплектации жилых домов;Сделать открывание двери санузла наружу;;
Лидер 8;Увеличить санузел (узкий);Сделать открывание двери санузла наружу;;;
Лидер 9;;;;;
Терем 1;Увеличить тепловой тамбур;;;;
Терем 2;;;;;
Терем 3;;;;;
Богатырь 1;Увеличить санузел (узкий);Сделать открывание двери санузла наружу;;;
Богатырь 2;Увеличить санузел (узкий);Сделать открывание двери санузла наружу;;;
Богатырь 3;Внести в стандартные услуги, перепланировку на 3-и комнаты;;;;
Богатырь 4;Внести в стандартные услуги, перепланировку на 3-и комнаты;;;;
Пересвет;;;;;
Святогор;Добавить балкон в баз. комплектацию, т.к. при добавлении стоимость дома, больше, чем коттеджа;;;;
Илья Муромец;;;;;
Премьер 1;Добавить комплектации жилых домов;Поменять в плане местами кабинет и кухню, увеличив дверной проем до размеров арки;Добавить БК;;
Варяг 1;Внести  в стандартные услуги пристройку Г-образную террасы;Увеличить количество свай в план фундамента;Увеличить санузел (узкий);Ввести услугу поддон для балконов, террасы;Ввести услугу остекление балкона
Варяг 2;Внести  в стандартные услуги пристройку Г-образную террасы;Ввести услугу поддон для балконов, террасы;Увеличить количество свай в план фундамента;Ввести услугу остекление балкона;
Варяг 3;Внести  в стандартные услуги пристройку Г-образную террасы;Ввести услугу поддон для балконов, террасы;Увеличить количество свай в план фундамента;Ввести услугу остекление балкона;
Варяг 4;Внести  в стандартные услуги пристройку Г-образную террасы;Ввести услугу поддон для балконов, террасы;Увеличить количество свай в план фундамента;Ввести услугу остекление балкона;
Варяг 5;Внести  в стандартные услуги пристройку Г-образную террасы;Ввести услугу поддон для балконов, террасы;Увеличить количество свай в план фундамента;Ввести услугу остекление балкона;
Варяг 6;Внести  в стандартные услуги пристройку Г-образную террасы;Ввести услугу поддон для балконов, террасы;Увеличить количество свай в план фундамента;Ввести услугу остекление балкона;
Викинг 1;;;;;
Викинг 2;Возможность устройства топочной;;;;
Викинг 3;Возможность устройства топочной;;;;
Викинг 4;;;;;
Викинг 5;Возможность устройства топочной;;;;
Викинг 11;Возможность устройства топочной;;;;
Викинг 12;Возможность устройства топочной;;;;
Канцлер 1;Возможность устройства топочной;Тепловой тамбур, как в Канцлере 2;;;
Канцлер 2;Возможность устройства топочной;;;;
Канцлер 3;;;;;
Канцлер 4;;;;;
Добрыня 1;Одноэтажный коттедж с тремя комнатами;;;;
Добрыня 2;Одноэтажный коттедж с тремя комнатами;;;;
Добрыня 3;Одноэтажный коттедж с тремя комнатами;;;;
Добрыня 4;Одноэтажный коттедж с тремя комнатами;;;;
Добрыня 5;Одноэтажный коттедж с тремя комнатами;;;;
Герцог 1;Разные варианты размеров;Добавить БК;;;
Император 1;Добавить БК;;;;
Император 2;Добавить БК;;;;
Император 3;Добавить БК;;;;
